"","date","county","fips","hosptot_mean","hosptot_CI95l","hosptot_CI95u","icutot_mean","icutot_CI95l","icutot_CI95u","cummort_mean","cummort_CI95l","cummort_CI95u"
"757","2020-05-05","Marin County",6041,6.26455912849135,5.8295277922032,6.53424889105183,2.51385322107938,2.3537849440212,2.6317825019448,9.47802398914516,9.1035641988216,9.83297193873049
"758","2020-05-06","Marin County",6041,6.33150435408919,5.89613054094795,6.60457696494158,2.54469668110878,2.38534956476354,2.66226909041309,9.65860337029786,9.27151889670969,10.0164091973772
"759","2020-05-07","Marin County",6041,6.40393690699574,5.96836316802705,6.67748669059692,2.57791156294325,2.41933005576185,2.69564142422264,9.84152800561799,9.44302721069928,10.2020326780904
"760","2020-05-08","Marin County",6041,6.48171721460877,6.04608139829439,6.7587250737543,2.61340486933696,2.45563286285896,2.73141470310026,10.0269610502022,9.62072749860931,10.3900052266577
"761","2020-05-09","Marin County",6041,6.56472352051278,6.12916045964158,6.84514663257984,2.65109606529124,2.49417774546629,2.76941816473182,10.2150597386628,9.80004683514575,10.5804832024078
"762","2020-05-10","Marin County",6041,6.652851192483,6.21749423121548,6.93665677067833,2.69091628184094,2.53489687525036,2.80960523721446,10.4059762401483,9.98063172737214,10.7736173580274
"763","2020-05-11","Marin County",6041,6.74601200036389,6.31099437880251,7.03317628096376,2.73280753742731,2.57773396552486,2.85249254836142,10.5998584547355,10.1654306408987,10.9695536584681
"764","2020-05-12","Marin County",6041,6.84413338336687,6.40958949578944,7.13464070407485,2.77672198716032,2.62264344056639,2.89745814741665,10.7968507535472,10.3554221933147,11.1684340413129
"765","2020-05-13","Marin County",6041,6.94715772192096,6.5132242636572,7.24074888877879,2.82262120725479,2.6694941853736,2.94442855987132,10.997094665432,10.5487637609186,11.3703971214804
"766","2020-05-14","Marin County",6041,7.05504162560035,6.62185864234811,7.3504005119711,2.87047551951523,2.71814890659879,2.99223778788414,11.200729513362,10.7444781661215,11.5755788434813
"767","2020-05-15","Marin County",6041,7.16775524571402,6.73546709792929,7.46483765724683,2.9202633588385,2.76878144580219,3.04197836540728,11.4078930038801,10.9428109203405,11.7841130846353
"768","2020-05-16","Marin County",6041,7.28528161876373,6.85403787263708,7.58404525202299,2.97197068521422,2.82138133747951,3.09363437377395,11.6187217730082,11.1449724888917,11.9961322127428
"769","2020-05-17","Marin County",6041,7.40761604506508,6.97757230052872,7.70801991317045,3.02559044055397,2.87594536966909,3.14719671231234,11.8333518920225,11.3511055580188,12.2139684943961
"770","2020-05-18","Marin County",6041,7.5347655053003,7.10608417050467,7.836769411032,3.08112204981002,2.93247705850177,3.20266262411733,12.0519193364406,11.5613531734971,12.4383243611361
"771","2020-05-19","Marin County",6041,7.66674811656542,7.23959913732533,7.97031216773351,3.13857096519906,2.99098617097637,3.26015776715524,12.2745604214551,11.7746440840085,12.666695662825
"772","2020-05-20","Marin County",6041,7.80359262853026,7.37733145119239,8.10812176931615,3.1979482518824,3.05148829367807,3.32036296552628,12.501412206916,11.9918908258713,12.8992806090114
"773","2020-05-21","Marin County",6041,7.94533795959996,7.51976101366664,8.25033519405303,3.25927021313477,3.1140044448989,3.38252067177715,12.7326128747993,12.2136785602902,13.1379431692527
"774","2020-05-22","Marin County",6041,8.09203277241267,7.66729694715394,8.39871362395071,3.32255805282937,3.1785607274738,3.44683781049017,12.968302081934,12.4401564439165,13.3811191947061
"775","2020-05-23","Marin County",6041,8.24373508759425,7.82000518541256,8.55122974371511,3.3878375729511,3.24473412192637,3.51147911320357,13.2086212905794,12.6714759815521,13.6261704261899
"776","2020-05-24","Marin County",6041,8.40051193439207,7.97796122143837,8.70915246234715,3.4551389038046,3.31371927988412,3.57841553967585,13.4537140792647,12.9077913554615,13.8728930713518
"777","2020-05-25","Marin County",6041,8.56243903660138,8.14124978072905,8.87222742876825,3.52449626459008,3.38486447575502,3.64737716370597,13.7037264361295,13.1492597371603,14.1243910589403
"778","2020-05-26","Marin County",6041,8.72960053206161,8.30996453176117,9.04111266708723,3.59594775206602,3.45586669905101,3.71839714825843,13.958807036827,13.3960415838949,14.3808075903732
"779","2020-05-27","Marin County",6041,8.90208872392014,8.4842078314479,9.22069892608793,3.66953515509227,3.52818067624494,3.7915141258762,14.2191075088901,13.6483009218427,14.6422885270815
"780","2020-05-28","Marin County",6041,9.08000386182527,8.66020539244306,9.40654319156475,3.74530379294118,3.60236639328273,3.86753122448049,14.4847826842994,13.9062056178819,14.9110127528525
"781","2020-05-29","Marin County",6041,9.26345395120698,8.84270426757425,9.59689826503374,3.82330237537132,3.67661783023535,3.94697653265408,14.7559908418438,14.1699276416107,15.1857443571427
"782","2020-05-30","Marin County",6041,9.45255458882679,9.03201079345528,9.79456215169113,3.90358288257318,3.75908373951463,4.02963632765661,15.0328939407251,14.4396433191419,15.4661014176926
"783","2020-05-31","Marin County",6041,9.64742882281768,9.22689629788936,9.99882344592006,3.98620046321364,3.84344263585628,4.11469641418681,15.3156578467252,14.7155335800502,15.7532825736727
"784","2020-06-01","Marin County",6041,9.84820703548773,9.42583225286809,10.2063406362688,4.07121334892444,3.92879689255233,4.20356988707527,15.6044525521326,14.9977841987166,16.0489330795643
"785","2020-06-02","Marin County",6041,10.0550268472222,9.62792800552075,10.4217834384746,4.15868278369491,4.01348550931509,4.29616537352302,15.8994523905126,15.2845051382203,16.3510976642864
"786","2020-06-03","Marin County",6041,10.268033039883,9.83725471552117,10.6419330042689,4.24867296674111,4.10014868230286,4.3914538330526,16.2008362472998,15.5800018575607,16.6596750090482
"787","2020-06-04","Marin County",6041,10.4873774981729,10.0493112608186,10.8668191807334,4.34125100752942,4.19036797999559,4.49011216709655,16.5087877670949,15.8821404303623,16.9748474957899
"788","2020-06-05","Marin County",6041,10.713219167497,10.2654965708388,11.0992647862524,4.43648689173226,4.28104907955815,4.59037068987023,16.8234955584583,16.1911142907136,17.296802350664
"789","2020-06-06","Marin County",6041,10.9457240269186,10.4922364406321,11.3389140889466,4.53445345698669,4.37467113788769,4.6907343314457,17.1451533969109,16.5071223166682,17.6257318428791
"790","2020-06-07","Marin County",6041,11.1850650758694,10.7309988878895,11.5878891756829,4.63522637741233,4.47444333583501,4.79717676051234,17.4739604267765,16.830369038518,17.9618334821233
"791","2020-06-08","Marin County",6041,11.431422333329,10.9655681473917,11.8441455905708,4.73888415592343,4.57658645324245,4.90702452501636,17.8101213624289,17.1610648470167,18.3053102151365
"792","2020-06-09","Marin County",6041,11.6849828482402,11.2034876476893,12.1091459362932,4.84550812344118,4.67996860751348,5.02005198267119,18.1538466894446,17.4994262020284,18.6571897879926
"793","2020-06-10","Marin County",6041,11.9459407199758,11.4588287043417,12.382900105919,4.95518244417635,4.78464414915628,5.13635047766543,18.5053528660984,17.8456758420158,19.0172306332811
"794","2020-06-11","Marin County",6041,12.2144971277091,11.7276722142552,12.6646426471225,5.0679941262094,4.89230121248004,5.25461684177135,18.8648625255863,18.2000429947255,19.385296463997
